Sample,Request,Response,ElapsedTimeNs
0,1,6912,1003671625
0,59,6912,1003621917
0,3,6912,1003864000
0,44,6912,1004000834
0,19,6912,1004217791
0,38,6912,1004132792
0,21,6912,1005809333
0,24,6912,1005830583
0,0,6912,1005844666
0,20,6912,1006046584
0,77,6912,1005783750
0,99,6912,1005979583
0,27,6912,1006020875
0,22,6912,1006249583
0,25,6912,1006550583
0,55,6912,1006548083
0,46,6912,1010335208
0,37,6912,1009885208
0,90,6912,1010570959
0,43,6912,1010601834
0,53,6912,1010674875
0,69,6912,1010592625
0,54,6912,1010720375
0,65,6912,1010690125
0,7,6912,1010564084
0,56,6912,1010786958
0,15,6912,1010623458
0,6,6912,1009066750
0,60,6912,1011059084
0,23,6912,1011444666
0,63,6912,1011172000
0,78,6912,1009221041
0,73,6912,1009318625
0,85,6912,1011791709
0,79,6912,1011809083
0,93,6912,1009774000
0,97,6912,1009402958
0,11,6912,1013504291
0,30,6912,1013449625
0,12,6912,1011768500
0,83,6912,1011301375
0,35,6912,1011521708
0,95,6912,1009610417
0,36,6912,1011616000
0,86,6912,1012994333
0,48,6912,1011374042
0,17,6912,1011875375
0,8,6912,1011965708
0,76,6912,1011271916
0,42,6912,1013040958
0,81,6912,1009742125
0,5,6912,1009681958
0,82,6912,1011632583
0,2,6912,1012154500
0,39,6912,1011711750
0,92,6912,1012415042
0,80,6912,1012372083
0,10,6912,1012207625
0,9,6912,1013209417
0,58,6912,1013244458
0,62,6912,1013745875
0,72,6912,1011613833
0,34,6912,1014065541
0,91,6912,1011979208
0,18,6912,1013816250
0,71,6912,1011372959
0,4,6912,1013699917
0,49,6912,1013821334
0,50,6912,1013166500
0,52,6912,1011431459
0,70,6912,1011366375
0,16,6912,1013572959
0,67,6912,1011460875
0,64,6912,1011971125
0,51,6912,1012261667
0,94,6912,1011820792
0,84,6912,1013189666
0,74,6912,1011479792
0,57,6912,1013410667
0,32,6912,1013636458
0,33,6912,1013451500
0,61,6912,1014003959
0,47,6912,1013208583
0,75,6912,1011581875
0,14,6912,1013743000
0,26,6912,1013731042
0,28,6912,1013734958
0,31,6912,1013719334
0,41,6912,1013290375
0,89,6912,1013252541
0,40,6912,1013369083
0,87,6912,1013265334
0,29,6912,1013743083
0,45,6912,1013284792
0,13,6912,1013797917
0,98,6912,1011559209
0,88,6912,1013344875
0,68,6912,1014093042
0,66,6912,1014151584
0,96,6912,1014084667
